RQC00664910          18P    17P    19P    32P    48P    28P    31P    45P    72P    65P    37P    22P
RQC00665020           5S     6S    11S    18S    28S    12S    21S    22S    31S    35P    26P     8S
RQC00665064          13S    12S    13S    25S    41S    35S    42C    34C    49S    51S    43S    19S
RQC00665097          10S    12C    14C    20C    27C    14C    23S    31C    37C    48C    36C    13S
RQC00665123          14P    21P    19P    35P    53P    30P    42P    43P    51P    56P    50P    31P
RQC00665807          29S    14S    19S    31S    47S    23C    26S    32S    36S    44S    48S    35S
RQC00666050          18P    23P    13P    19P    37P    27P    35P    36P    48P    48P    52P    31P
RQC00666073           6P    18S    17P    26S    42S    38P    54P    55P    56P    49P    23S    13P
RQC00666083           9S    13S    19S    40S    58S    60S    83S    82S    79S    72S    39S    13S
RQC00666258          11S    11S     8S    15S    25S    20S    13S    18P    30S    32P    24P    17P
RQC00666270          20P    19P    20P    36P    61P    21P    21P    27P    40P    46P    40P    27P
RQC00666361          22C    15C    24S    29S    55S    33C    29C    35C    41C    42S    38C    24C
RQC00666390          25C    19C    20C    43S    62C    23C    31C    40S    47C    58S    50S    31S
RQC00666514          32S    20C    30C    51C    52S    21S    32S    41S    54S    51S    50S    36S
RQC00666805          30S    29C    30S    36C    60C    46C    44C    49C    51C    67S    64S    46C
RQC00666900          19P    16P     9P    11P    29P    23P    35P    30P    38P    32P    39P    22P
RQC00666983          13P     9P    16P    31P    37P    18P    16P    36P    47P    56P    35P    14P
RQC00666992          89P    73P    68P    65P   110P    91P    89P    98P    89P   100P   124P   103P
RQC00667292           2C     6C    10C    15C    22S    15C    15C    24C    31C    36C    27S     7C
RQC00667295           4P     4P     6P     6P    22P    12P     9P    14P    21P    30P    21P     7P
RQC00668144          38P    21S    31S    36P    55P    53S    51P    62P    64P    61S    70S    49P
RQC00668306          28P    21P    19P    32P    43P    28P    36P    41P    45P    44P    54P    31P
RQC00668815          21C    18C    20C    23C    56C    52C    58S    48C    55S    53S    50S    32C
RQC00668940           4S     5S     6S    13S    22S    15S    15S    19S    31S    34S    22S     6S
RQC00669421          22P    24P    13P    28P    53P    26P    45P    42P    40P    36P    53P    36P
RQC00669432          22P    18S    23P    57P    60S    35S    28S    52S    72S    93S    47S    23S
RQC00669521          27C    20S    20S    33S    41S    27C    38C    45C    48S    50S    47S    31C
RQC00669608          11P    17P    19P    40P    63P    33P    32P    53P    48P    64P    34P    16P
RQC00669774          11C    10C    13C    29S    43S    25S    23C    33S    54S    64S    34S    10S
RQC00669860          10S    12S    13S    23S    28S    13S    20S    32S    42S    50S    30S    15S
RQW00011603          17S    17P    16S    22S    40P    27S    27P    34S    33P    52P    36P    24S
RQW00011630           9P    11P     9P    16P    31P    20P    22P    26P    34P    34S    33S    24P
RQW00011641          18C    13C     7C    23C    37C    29C    32C    33C    33C    31C    43C    27C
USC00010008          41S    35S    35S    23S    22S    38C    42S    34S    26S    20S    26S    32S
USC00010063          43P    36P    38P    27P    33P    41P    35P    23P    30P    24P    37P    38P
USC00010140          36C    36S    35C    25C    25C    29C    33C    24C    20C    21C    31C    32S
USC00010160          36S    39C    37C    29C    33C    34C    38C    32C    28S    23S    33C    33S
USC00010178          38P    36S    38S    33S    33P    34P    33P    25S    21P    24S    37S    34S
USC00010184          39C    35S    33C    29C    25C    32C    26C    23C    22C    26C    34C    32C
USC00010252          39C    34S    34S    26S    28C    34C    42S    36S    25S    18S    31S    28S
USC00010369          36C    40C    38S    28S    29C    31C    33C    29C    21S    24S    33C    36C
USC00010390          41P    33P    38P    33P    32P    32P    30P    27P    24P    31P    34P    42P
USC00010402          40S    34S    32S    26S    30S    36S    46S    34S    26S    23S    33S    28S
USC00010425          29P    31P    34P    28P    26P    39P    30P    27P    27P    19P    31P    33P
