RQC00664910           5P     6P     9P    19P    28P    13P    11P    20P    37P    30P    16P     4P
RQC00665020           2S     3S     5S    10S    16S     6S    10S    13S    17S    20P    17P     5S
RQC00665064           5S     4S     5S     9S    19S    15S    17C    16C    20S    22S    18S     8S
RQC00665097           5S     5C     6C     9C    16C     8C     7S    18C    18C    23C    17C     4S
RQC00665123           4P     8P     8P    18P    25P    15P    21P    16P    22P    28P    23P    10P
RQC00665807          13S     8S     8S    17S    25S     8C    10S    12S    12S    17S    22S    13S
RQC00666050           7P     7P     4P     7P    15P    14P    14P    16P    22P    22P    22P    10P
RQC00666073           2P     4S     6P    13S    24S    18P    25P    25P    29P    20P    10S     6P
RQC00666083           3S     6S     9S    22S    37S    32S    49S    40S    45S    37S    21S     5S
RQC00666258           4S     2S     1S     7S    12S     8S     3S     7P    13S    12P    10P     9P
RQC00666270           8P     6P     4P    16P    30P     9P     9P    11P    20P    19P    15P    10P
RQC00666361           7C     6C    10S    14S    28S    15C    12C    14C    16C    16S    17C    12C
RQC00666390           9C     8C     9C    21S    41C    11C    11C    17S    23C    30S    24S    13S
RQC00666514          15S     9C    14C    32C    29S     9S    11S    14S    29S    30S    26S    12S
RQC00666805          14S    10C    12S    17C    31C    20C    21C    21C    27C    28S    31S    23C
RQC00666900           6P     5P     3P     3P    12P     8P    14P    10P    21P    19P    22P     8P
RQC00666983           4P     5P     7P    14P    20P     8P     7P    12P    23P    31P    21P     8P
RQC00666992          32P    26P    27P    28P    56P    36P    33P    40P    34P    46P    58P    47P
RQC00667292       -7777C     3C     6C     4C    13S     5C     7C    12C    15C    16C    10S     4C
RQC00667295           2P     1P     4P     3P    11P     5P     3P     8P    12P    19P    13P     3P
RQC00668144          13P     8S     8S    17P    23P    24S    24P    25P    33P    29S    31S    19P
RQC00668306           7P     6P     7P    17P    23P    12P    16P    16P    19P    22P    23P    13P
RQC00668815           5C     5C     4C    12C    22C    20C    24S    19C    25S    23S    24S    11C
RQC00668940           2S     2S     1S     4S    11S     7S     8S    10S    17S    18S    14S     5S
RQC00669421           7P     9P     6P    14P    27P    11P    22P    20P    11P    15P    18P    10P
RQC00669432           9P     5S    10P    32P    35S    17S    15S    29S    42S    55S    27S     9S
RQC00669521           6C     6S     9S    16S    23S    10C    17C    22C    20S    21S    19S     9C
RQC00669608           5P     9P     8P    19P    35P    13P    12P    25P    26P    32P    16P     7P
RQC00669774           4C     6C     6C    16S    22S    13S    11C    20S    26S    35S    16S     3S
RQC00669860           4S     3S     6S    11S    16S     6S     9S    12S    19S    23S    13S     6S
RQW00011603           7S     6P     7S    13S    21P    14S    11P    14S    17P    25P    15P     9S
RQW00011630           3P     5P     3P     7P    16P     9P     7P     8P    13P    13S    14S     8P
RQW00011641           5C     3C     3C    12C    17C    11C    11C    12C    11C    13C    13C    10C
USC00010008          17S    17S    17S    13S    12S    17C    18S    12S    11S    10S    17S    14S
USC00010063          17P    16P    18P    15P    15P    16P    17P    12P    18P    12P    17P    17P
USC00010140          15C    16S    20C    14C    12C    12C    15C    11C     8C    10C    18C    17S
USC00010160          17S    18C    21C    13C    13C    14C    15C    14C    15S     9S    17C    16S
USC00010178          19P    21S    17S    16S    13P    17P    15P    11S    11P    13S    18S    16S
USC00010184          18C    18S    16C    15C    12C    12C     8C    11C    10C    11C    17C    16C
USC00010252          20C    18S    20S    13S    13C    13C    19S    17S    12S     9S    17S    14S
USC00010369          17C    21C    20S    13S    15C    13C    17C    15C    10S     9S    18C    18C
USC00010390          20P    12P    14P    12P    13P    14P    11P    12P    14P    15P    13P    16P
USC00010402          22S    17S    19S    15S    17S    19S    19S    16S    12S    10S    19S    16S
USC00010425          15P    18P    22P    16P    13P    17P     9P     9P    12P    11P    13P    14P
USC00010430          13P    17P    20P     9P     8P    14P    17P     6P    13P     9P    17P    13P
USC00010440          20P    16P    21P    12P    13P    10P    16P    12P     9P    11P    18P    17P
USC00010505          23C    19C    19C    15C    16C    17C    17C    11C    14C    15C    19S    16S
USC00010583          20C    19S    20C    14C    20C    21C    23C    21C    16S    12C    19C    17C
USC00010655          14S    13C    13S    13C    14C    14C     9S     9C    12C     9C    15C    19S
USC00010764          17C    18C    20C    16C    18C    12C    16C     9C    12C    13C    20C    14C
USC00010957          14S    13S    15S    16P    14P    14S    18P    14P    12S    11S    18S    16S
USC00011080          24S    18C    23C    14C    14S    21C    24C    21C    15S    10C    20C    19C
USC00011084          21C    17C    22C    17C    18C    20C    22C    20S    17S    11S    21C    15S
USC00011099          23S    20S    19S    17S    17S    14S    17S    15S    15S    12S    21S    20S
USC00011178          14P    14P    23P    18P    10P    17P    21P    17P    15P    12P    17P    14P
USC00011288          18P    19P    16P    18P    15P    14P    14P     8P    13P    10P    14P    16P
USC00011301          20P    18P    21P    14P    13P    14P    17P    10P     9P     8P    22P    18P
USC00011377          19P    18P    18P    16P    14P    15P    16P    14P    16P    12P    18P    20P
USC00011620          18S    19C    19C    14C    15C    13C    13C     9C    11C    10C    17C    12C
USC00011690          20P    13S    16P    11P    10S    11S    10S    10S     9S     7S    17S    14S
USC00011694          15P    19P    21P    16P    11S    14S    18S    12S    13S    12S    19S    16S
USC00011810          17S    14S    19S    13S    16S    13S    15S    12S     9S    10S    15S    17S
USC00012096          19P    17P    16P    17P    17P    14P    14P    11P    14P    14P    16P    21P
USC00012172          16C    16C    19S    12S    16C    16C    19S    17C    14S    11C    13C    13S
USC00012245          17S    17C    19C    14C    12C    10C    14S    15C    11C    11S    16C    13S
USC00012577          19S    17S    20S    14S    16S    17P    22S    13S    14S    11S    15S    11S
USC00012675          15S    15S    18C    11S    10S    14C    16S    12S    11S     9S    15S    13S
USC00012730          13S    17C    18C    10S    10C    13S    15S     9S    12S    10S    15S    12S
USC00012758          20C    19C    21C    15C    13C    16S    21C    15C    12C    11C    14C    16C
USC00012813          19C    19C    20C    12C    16C    20C    25C    23C    16C    12C    16C    16C
USC00012840          10P    14P    15P    16P    12P    12P    13P    13P    11P    10P    17P    16P
USC00012883          16P    16P    20P    16P    15P    15P    13P     9P    11P    10P    16P    15P
USC00013043          13P    16P    17P    10P    15P     9P    20P    10P    12P    10P    19P    17P
USC00013154          15S    16S    16S    17S    17S    12S    15S    11S    13S    12S    17S    14S
USC00013160          16C    18C    19C    15C    14C    12C    14S     9S     9S    13C    16C    15S
USC00013251          18C    18C    21C    14C    12C    18C    17C    14C    11C    11C    18C    16C
USC00013271          22P    19P    23P    11P    15P    21P    14P    10P    14P    11P    16P    14P
USC00013430          14P    23P    17P    14P    14P    12P    14P    11P    12P    13P    19P    17P
USC00013511          16C    19C    19C    16C    16C    11S    14C    12C    12S    10S    17S    16S
USC00013519          19C    16C    21C    13C    12C    16S    17C    13C    13C     8C    17C    16C
USC00013573          13S    15S    15S    13S    13S    12S    13S    10S     9S     9S    16S    16S
USC00013575          19P    14P    17P    11P    14P    11P    11P     9P    12P     8P    16P    18P
USC00013620          20C    19C    17C    18C    18C    17C    16S    15S    15S    15S    20S    19C
USC00013645          18C    17C    14C    18S    18C    15C    13C    12C    13C    12C    17C    18C
USC00013655          17P    17P    19P    14P    17P    13P    13P    10P    17P    10P    16P    15P
USC00013761          16S    18S    17S    12S    10S    15S    14S    11C    11S     9C    12C    14S
USC00013775          18S    19S    19S    14S    14S    11S    15S    10S     8S     9S    18S    15S
USC00013781          14P    15P    15P    13P    16P     7P    11P    18P    15P    12P    17P    12P
USC00013816          16S    17S    21S    14C    10S    16C    13C    16C    14S     9S    18S    13S
